,p_d,g_d,q_d,g_w
1月29日,166.36,631.12,,0
1月29日,166.36,724.92,,0
1月29日,166.36,814.85,,0
1月30日,166.36,892.02,,0
1月30日,166.36,989.3,,0
1月30日,166.36,1060.76,,0
1月30日,166.36,1167.38,,0
1月30日,166.36,1249.84,,0
1月30日,166.36,1335.48,,0
1月30日,166.36,3950.74,,70.082
1月30日,166.36,4051.06,,350.142
1月30日,3064.57,3714.71,,665.176
1月30日,4071.51,2208.45,,665.176
1月30日,4202.85,873.6,,665.176
1月30日,4071.51,600.03,,560.12
1月30日,3677.49,415.85,,560.12
1月30日,3940.17,327.42,,665.176
1月30日,4027.73,272.75,,665.176
1月30日,3852.61,402.35,,665.176
1月30日,3502.37,591.1,,665.176
1月30日,3502.37,754.17,,210.112
1月30日,2101.42,330.97,,210.112
1月30日,1576.07,512.58,,0
1月30日,1576.07,624.62,,0
1月30日,166.36,587.91,,0
1月30日,166.36,691.61,,0
1月30日,166.36,784.18,,0
1月31日,166.36,871.29,,0
1月31日,166.36,958.66,,0
1月31日,166.36,1040.75,,0
1月31日,166.36,1130.22,,0
1月31日,166.36,1215.29,,0
1月31日,166.36,1290.1,,0
1月31日,166.36,3843.65,,70.082
1月31日,166.36,3955.36,,350.142
1月31日,3064.57,3963.72,,665.176
1月31日,4071.51,2783.69,,665.176
1月31日,4202.85,1320.54,,665.176
1月31日,4071.51,767.82,,560.12
1月31日,3677.49,551.14,,560.12
1月31日,3940.17,423.06,,665.176
1月31日,4027.73,350.57,,665.176
1月31日,3852.61,323.59,,665.176
1月31日,3502.37,337.97,,665.176
1月31日,3502.37,521.45,,210.112
1月31日,2101.42,312.49,,210.112
1月31日,1576.07,518.32,,0
1月31日,1576.07,726.13,,0
1月31日,166.36,716.43,,0
1月31日,166.36,867.31,,0
1月31日,166.36,1010.38,,0
2月1日,166.36,1136.15,,0
2月1日,166.36,1247.82,,0
2月1日,166.36,1320.02,,0
2月1日,166.36,1406.41,,0
2月1日,166.36,1463.76,,0
2月1日,166.36,1507.25,,0
